LAYER,P,R,F
0,0.31944817,0.31930807,0.31435305
1,0.35323364,0.35311857,0.34968773
2,0.45163774,0.4515499,0.44988298
3,0.48452806,0.484472,0.48300153
4,0.50030196,0.5002699,0.4989477
5,0.5025442,0.5025096,0.50139064
6,0.5245986,0.5245592,0.5236803
7,0.5658234,0.5658026,0.5651121
8,0.6040841,0.6040703,0.60351247
9,0.62723535,0.6272367,0.62677485
10,0.638486,0.6384751,0.6379038
11,0.6702226,0.6701786,0.66954607
12,0.41506433,0.41494608,0.41298315
