LAYER,P,R,F
0,0.26305032,0.26294482,0.25873896
1,0.30888286,0.30880296,0.3060772
2,0.41965413,0.41956148,0.41810995
3,0.468751,0.46870562,0.46744484
4,0.49151385,0.49149734,0.49034733
5,0.49512452,0.495136,0.4941478
6,0.5234054,0.5234225,0.5226921
7,0.5669395,0.56697416,0.5664115
8,0.6084121,0.6084371,0.6079964
9,0.6370828,0.6371097,0.63673806
10,0.6534092,0.6534263,0.6529241
11,0.68289983,0.6829482,0.6823212
12,0.41367415,0.4136745,0.4125497
